Naber,Status,WarningValue,AlarmValue,AvgValue,StdValue,Count,Alert
202945,z05-04-04,0.005,0.015,0.0042401923162217895,0.0024071002185446105,26,0
202945,z05-07-04,0.102,0.306,0.09164229642461848,0.016328163665703627,27,0
202945,z05-08-04,0.014,0.042,0.006288703669000555,0.0061772871968728245,27,0
202945,z05-11-04,0.132,0.396,0.10808733409201657,0.025811692648420852,27,0
202945,z05-12-04,0.005,0.015,0.003181037046791365,0.0035483107638409053,27,0
202946,z05-03-04,0.108,0.324,0.06323342823556491,0.0088309903603534,14,0
202946,z05-04-04,0.005,0.015,0.0024811428676392616,0.0026606803957464746,14,0
202946,z05-07-04,0.102,0.306,0.07800099970056461,0.011466448496887967,13,0
202946,z05-08-04,0.014,0.042,0.00410061536464267,0.003760917113204545,13,0
202946,z05-11-04,0.132,0.396,0.11716415331913875,0.05613968973952566,13,0
202946,z05-12-04,0.005,0.015,0.01358799986505451,0.019188086034609166,13,1
202949,z05-03-04,0.108,0.324,0.06463199853897095,0.0,1,0
202949,z05-04-04,0.005,0.015,0.0015620000194758177,0.0,1,0
202949,z05-07-04,0.102,0.306,0.06966400146484375,0.0,1,0
202949,z05-08-04,0.014,0.042,0.003700000001117587,0.0,1,0
202949,z05-11-04,0.132,0.396,0.06513799726963043,0.0,1,0
202949,z05-12-04,0.005,0.015,0.001310999970883131,0.0,1,0
202950,z05-03-04,0.108,0.324,0.2543469965457916,0.0,1,1
202950,z05-04-04,0.005,0.015,0.13046100735664368,0.0,1,2
202950,z05-07-04,0.102,0.306,0.07283399999141693,0.0,1,0
202950,z05-08-04,0.014,0.042,0.002088000066578388,0.0,1,0
202950,z05-11-04,0.132,0.396,0.5487340092658997,0.0,1,2
202950,z05-12-04,0.005,0.015,0.30903300642967224,0.0,1,2
202951,z05-03-04,0.108,0.324,0.07613823018394984,0.011863763611606916,13,0
202951,z05-04-04,0.005,0.015,0.0036426922843719903,0.0018458817232353628,13,0
202951,z05-07-04,0.102,0.306,0.07019315344782975,0.010156090130371095,13,0
202951,z05-08-04,0.014,0.042,0.0023844615251828846,0.0016172503184741238,13,0
202951,z05-11-04,0.132,0.396,0.08982661481087025,0.019018509816754472,13,0
202951,z05-12-04,0.005,0.015,0.0030062307979768286,0.0021090643781212807,13,0
202952,z05-03-04,0.108,0.324,0.057842812268063426,0.00587708455645673,16,0
202952,z05-04-04,0.005,0.015,0.0014174999851093162,0.00041641415284461174,16,0
202952,z05-07-04,0.102,0.306,0.0783431245945394,0.01111095164123438,16,0
202952,z05-08-04,0.014,0.042,0.0018319999871891923,0.000446846722585806,16,0
202952,z05-11-04,0.132,0.396,0.20704255951568484,0.14509163420264973,16,1
202952,z05-12-04,0.005,0.015,0.0029154666777079304,0.0017290085120760218,15,0
202954,z05-03-04,0.108,0.324,0.0646703334318267,0.012710611083876961,9,0
202954,z05-04-04,0.005,0.015,0.0014394999961950816,0.0006220649104573306,8,0
202954,z05-07-04,0.102,0.306,0.07541866683297688,0.007622262127794342,9,0
202954,z05-08-04,0.014,0.042,0.002991499946801923,0.0020250889439319603,8,0
202954,z05-11-04,0.132,0.396,0.08473455491993162,0.008985751889485817,9,0
202954,z05-12-04,0.005,0.015,0.0024946666542544132,0.0015476722366891355,9,0
202955,z05-03-04,0.108,0.324,0.10402320101857185,0.04870810907460857,5,0
202955,z05-04-04,0.005,0.015,0.01862560010049492,0.01881523153025768,5,2
202955,z05-07-04,0.102,0.306,0.07845340073108673,0.00570939548218039,5,0
202955,z05-08-04,0.014,0.042,0.002792600030079484,0.0011177990511542371,5,0
202955,z05-11-04,0.132,0.396,0.12923159897327424,0.023013091734306455,5,0
202955,z05-12-04,0.005,0.015,0.011962199956178666,0.008980652501209035,5,1
202957,z05-03-04,0.108,0.324,0.08051599934697151,0.023334253638176393,4,0
202957,z05-04-04,0.005,0.015,0.004842800088226795,0.001728116159074451,5,0
202957,z05-07-04,0.102,0.306,0.07932233313719432,0.007293812084598935,6,0
202957,z05-08-04,0.014,0.042,0.0016670000331941992,0.0006223660851238055,4,0
202957,z05-11-04,0.132,0.396,0.09860800206661224,0.020007572371216014,5,0
202957,z05-12-04,0.005,0.015,0.003171599982306361,0.0009435764633744196,5,0
202961,z05-03-04,0.108,0.324,0.11892399936914444,0.0,1,1
202961,z05-04-04,0.005,0.015,0.0036299999337643385,0.0,1,0
202961,z05-07-04,0.102,0.306,0.1533609926700592,0.0,1,1
202961,z05-08-04,0.014,0.042,0.010491999797523022,0.0,1,0
202961,z05-11-04,0.132,0.396,0.405254989862442,0.0,1,2
202961,z05-12-04,0.005,0.015,0.006682000122964382,0.0,1,1
202963,z05-03-04,0.108,0.324,0.09555016582210858,0.007989605159693674,6,0
202963,z05-04-04,0.005,0.015,0.0027223333357445276,0.0012555932070946936,6,0
202963,z05-07-04,0.102,0.306,0.08162400002280872,0.0068149837693906356,6,0
202963,z05-08-04,0.014,0.042,0.0016428332989259313,0.0006431369220283076,6,0
202963,z05-11-04,0.132,0.396,0.1128050001959006,0.020975994749589822,6,0
202963,z05-12-04,0.005,0.015,0.003776833259811004,0.002186196344372371,6,0
202965,z05-03-04,0.108,0.324,0.2369600087404251,0.03331400454044342,2,1
202965,z05-04-04,0.005,0.015,0.03592099901288748,0.007105999626219273,2,2
202965,z05-07-04,0.102,0.306,0.19815699756145477,0.0,1,1
202965,z05-08-04,0.014,0.042,0.006031000055372715,0.0,1,0
202965,z05-11-04,0.132,0.396,0.20846499502658844,0.0,1,1
203087,z05-03-04,0.108,0.324,0.08587571446384702,0.016721063347767955,7,0
203087,z05-04-04,0.005,0.015,0.005769142814512763,0.0023353664676009113,7,1
203087,z05-07-04,0.102,0.306,0.07871485714401517,0.014082183055049527,7,0
203087,z05-08-04,0.014,0.042,0.0015349999968228595,0.0003980961771762807,7,0
203087,z05-11-04,0.132,0.396,0.12197471197162356,0.03893490161724926,7,0
203087,z05-12-04,0.005,0.015,0.004181428546352046,0.0019211145005471194,7,0
203091,z05-03-04,0.108,0.324,0.05992249958217144,0.0007835011929273605,2,0
203091,z05-04-04,0.005,0.015,0.0017015000339597464,0.000381499994546175,2,0
203091,z05-07-04,0.102,0.306,0.07925049960613251,0.009788498282432556,2,0
203091,z05-08-04,0.014,0.042,0.005291499779559672,0.003731499775312841,2,0
203091,z05-11-04,0.132,0.396,0.1213039979338646,0.0389150008559227,2,0
203091,z05-12-04,0.005,0.015,0.008760500117205083,0.004913500160910189,2,1
203093,z05-03-04,0.108,0.324,0.07279181852936745,0.010882725452891363,11,0
203093,z05-04-04,0.005,0.015,0.0034313635710118847,0.0020324066377711628,11,0
203093,z05-07-04,0.102,0.306,0.0843479995700446,0.013938773774040798,11,0
203093,z05-08-04,0.014,0.042,0.003600727332840589,0.0021125953394954895,11,0
203093,z05-11-04,0.132,0.396,0.14908100122755225,0.05379987200167077,11,1
203093,z05-12-04,0.005,0.015,0.003369727320122448,0.001307851157956297,11,0
203096,z05-03-04,0.108,0.324,0.06744859913984934,0.008602138810535932,15,0
203096,z05-04-04,0.005,0.015,0.0015540666839418311,0.0010898193173710046,15,0
203096,z05-07-04,0.102,0.306,0.08765093386173248,0.015609425455423199,15,0
203096,z05-08-04,0.014,0.042,0.0037642000747534136,0.0049813864468483396,15,0
203096,z05-11-04,0.132,0.396,0.21194586406151453,0.07129230475576707,15,1
203096,z05-12-04,0.005,0.015,0.009752199985086918,0.008663753144479765,15,1
